Company Name,Industry,Symbol,Series,ISIN Code
Prestige Estates Projects Ltd.,realestate,PRESTIGE,EQ,INE811K01011
Brigade Enterprises Ltd.,realestate,BRIGADE,EQ,INE791I01019
Sobha Ltd.,realestate,SOBHA,EQ,INE671H01015
Sunteck Realty Ltd.,realestate,SUNTECK,EQ,INE805D01034
Aditya Birla Real Estate Ltd.,realestate,ABREL,EQ,INE055A01016
NBCC India Ltd.,realestate,NBCC,EQ,INE095N01031
Jio Financial Services Ltd.,nbfc,JIOFIN,EQ,INE758E01017
Five Star Business Finance Ltd.,nbfc,FIVESTAR,EQ,INE128S01021
Bajaj Housing Finance Ltd.,nbfc,BAJAJHFL,EQ,INE377Y01014
SBI Cards & Payment Services Ltd.,nbfc,SBICARD,EQ,INE018E01016
CAMS Computer Age Management Services Ltd.,nbfc,CAMS,EQ,INE596I01012
Angel One Ltd.,nbfc,ANGELONE,EQ,INE732I01013
360 ONE WAM Ltd.,nbfc,360ONE,EQ,INE466L01038
Anand Rathi Wealth Ltd.,nbfc,ANANDRATHI,EQ,INE463V01026
IIFL Finance Ltd.,nbfc,IIFL,EQ,INE530B01024
Poonawalla Fincorp Ltd.,nbfc,POONAWALLA,EQ,INE511C01022
Aditya Birla Capital Ltd.,nbfc,ABCAPITAL,EQ,INE674K01013
PNB Housing Finance Ltd.,nbfc,PNBHOUSING,EQ,INE572E01012
LIC Housing Finance Ltd.,nbfc,LICHSGFIN,EQ,INE115A01026
Indiabulls Housing Finance Ltd.,nbfc,IBULHSGFIN,EQ,INE148I01020
Aavas Financiers Ltd.,nbfc,AAVAS,EQ,INE216P01012
Manappuram Finance Ltd.,nbfc,MANAPPURAM,EQ,INE522D01027
Muthoot Finance Ltd.,nbfc,MUTHOOTFIN,EQ,INE414G01012
Star Health and Allied Insurance Co. Ltd.,insurance,STARHEALTH,EQ,INE575P01011
Devyani International Ltd.,fmcg,DEVYANI,EQ,INE872J01023
Sapphire Foods India Ltd.,fmcg,SAPPHIRE,EQ,INE806T01012
Westlife Foodworld Ltd.,fmcg,WESTLIFE,EQ,INE274F01020
Jubilant FoodWorks Ltd.,fmcg,JUBLFOOD,EQ,INE797F01012
Britannia Industries Ltd.,fmcg,BRITANNIA,EQ,INE216A01030
Patanjali Foods Ltd.,fmcg,PATANJALI,EQ,INE619A01035
Avenue Supermarts Ltd. (DMart),retail,DMART,EQ,INE192R01011
Trent Ltd.,retail,TRENT,EQ,INE849A01020
Aditya Birla Fashion and Retail Ltd.,retail,ABFRL,EQ,INE647O01011
V-Mart Retail Ltd.,retail,VMART,EQ,INE665J01013
Shoppers Stop Ltd.,retail,SHOPERSTOP,EQ,INE498B01024
Vedant Fashions Ltd.,retail,MANYAVAR,EQ,INE825V01034
Campus Activewear Ltd.,retail,CAMPUS,EQ,INE278Y01022
Metro Brands Ltd.,retail,METROBRAND,EQ,INE317I01021
Page Industries Ltd.,textiles,PAGEIND,EQ,INE761H01022
KPR Mill Ltd.,textiles,KPRMILL,EQ,INE930H01023
Welspun India Ltd.,textiles,WELSPUNIND,EQ,INE192B01031
Vardhman Textiles Ltd.,textiles,VTL,EQ,INE825A01012
Trident Ltd.,textiles,TRIDENT,EQ,INE064C01014
Indus Towers Ltd.,telecom,INDUSTOWER,EQ,INE121J01017
Vodafone Idea Ltd.,telecom,IDEA,EQ,INE669E01016
Tata Communications Ltd.,telecom,TATACOMM,EQ,INE151A01013
Tejas Networks Ltd.,telecom,TEJASNET,EQ,INE010J01012
HFCL Ltd.,telecom,HFCL,EQ,INE548A01028
Sterling and Wilson Renewable Energy Ltd.,renewables,SWSOLAR,EQ,INE00M201021
Borosil Renewables Ltd.,renewables,BORORENEW,EQ,INE666D01022
Premier Energies Ltd.,renewables,PREMIERENE,EQ,INE0BUF01016
Waaree Energies Ltd.,renewables,WAAREEENER,EQ,INE377N01017
Coal India Ltd.,metals,COALINDIA,EQ,INE522F01014
NMDC Ltd.,metals,NMDC,EQ,INE584A01023
SAIL Steel Authority of India Ltd.,metals,SAIL,EQ,INE114A01011
Tata Steel Ltd.,metals,TATASTEEL,EQ,INE081A01012
JSW Steel Ltd.,metals,JSWSTEEL,EQ,INE019A01038
Jindal Steel & Power Ltd.,metals,JINDALSTEL,EQ,INE749A01030
Hindalco Industries Ltd.,metals,HINDALCO,EQ,INE038A01020
Vedanta Ltd.,metals,VEDL,EQ,INE205A01025
Hindustan Zinc Ltd.,metals,HINDZINC,EQ,INE267A01025
Bharti Hexacom Ltd.,telecom,BHARTIHEXA,EQ,INE343H01029
PG Electroplast Ltd.,capgoods,PGEL,EQ,INE457L01029
Dixon Technologies India Ltd.,capgoods,DIXON,EQ,INE935N01012
Amber Enterprises India Ltd.,capgoods,AMBER,EQ,INE371P01015
Voltas Ltd.,fmcg,VOLTAS,EQ,INE226A01021
Blue Star Ltd.,fmcg,BLUESTARCO,EQ,INE472A01039
Whirlpool of India Ltd.,fmcg,WHIRLPOOL,EQ,INE716A01013
Tata Consumer Products Ltd.,fmcg,TATACONSUM,EQ,INE192A01025
Hindustan Foods Ltd.,fmcg,HNDFDS,EQ,INE254N01010
Heritage Foods Ltd.,fmcg,HERITGFOOD,EQ,INE978A01027
Hatsun Agro Product Ltd.,fmcg,HATSUN,EQ,INE473B01035
Dodla Dairy Ltd.,fmcg,DODLA,EQ,INE7P3201017
Aether Industries Ltd.,specchem,AETHER,EQ,INE0KHF01015
Clean Science and Technology Ltd.,specchem,CLEAN,EQ,INE227W01023
Tatva Chintan Pharma Chem Ltd.,specchem,TATVA,EQ,INE0BR101010
Anupam Rasayan India Ltd.,specchem,ANURAS,EQ,INE540T01019
Rossari Biotech Ltd.,specchem,ROSSARI,EQ,INE02A801020
Laxmi Organic Industries Ltd.,specchem,LXCHEM,EQ,INE576O01020
Jubilant Ingrevia Ltd.,specchem,JUBLINGREA,EQ,INE0BY001018
SBI Cards & Payment Services Ltd.,nbfc,SBICARD,EQ,INE018E01016
Bandhan Bank Ltd.,banking,BANDHANBNK,EQ,INE545U01014
AU Small Finance Bank Ltd.,banking,AUBANK,EQ,INE949L01017
Equitas Small Finance Bank Ltd.,banking,EQUITASBNK,EQ,INE063P01018
Ujjivan Small Finance Bank Ltd.,banking,UJJIVANSFB,EQ,INE551W01018
Suryoday Small Finance Bank Ltd.,banking,SURYODAY,EQ,INE428Q01019
Karur Vysya Bank Ltd.,banking,KARURVYSYA,EQ,INE036D01028
South Indian Bank Ltd.,banking,SOUTHBANK,EQ,INE683A01023
City Union Bank Ltd.,banking,CUB,EQ,INE491A01021
DCB Bank Ltd.,banking,DCBBANK,EQ,INE503A01015
RBL Bank Ltd.,banking,RBLBANK,EQ,INE976G01028
IDFC First Bank Ltd.,banking,IDFCFIRSTB,EQ,INE092T01019
Yes Bank Ltd.,banking,YESBANK,EQ,INE528G01027
Indian Energy Exchange Ltd.,nbfc,IEX,EQ,INE022Q01020
Multi Commodity Exchange of India Ltd.,nbfc,MCX,EQ,INE745G01035
Computer Age Management Services Ltd.,nbfc,CAMS,EQ,INE596I01012
CDSL Central Depository Services Ltd.,nbfc,CDSL,EQ,INE736A01011
KFin Technologies Ltd.,nbfc,KFINTECH,EQ,INE138Y01010
Easy Trip Planners Ltd.,it,EASEMYTRIP,EQ,INE07O001012
Yatra Online Ltd.,it,YATRA,EQ,INE783H01024
Nazara Technologies Ltd.,media,NAZARA,EQ,INE418L01021
Saregama India Ltd.,media,SAREGAMA,EQ,INE979A01017
PVR Inox Ltd.,hospitality,PVRINOX,EQ,INE191H01014
Indian Hotels Co. Ltd. (Taj),hospitality,INDHOTEL,EQ,INE053A01029
EIH Ltd.,hospitality,EIHOTEL,EQ,INE230A01023
Chalet Hotels Ltd.,hospitality,CHALET,EQ,INE427F01016
Lemon Tree Hotels Ltd.,hospitality,LEMONTREE,EQ,INE970X01018
Apollo Hospitals Enterprise Ltd.,healthcare,APOLLOHOSP,EQ,INE437A01024
Fortis Healthcare Ltd.,healthcare,FORTIS,EQ,INE061F01013
Max Healthcare Institute Ltd.,healthcare,MAXHEALTH,EQ,INE027H01010
Global Health Ltd. (Medanta),healthcare,MEDANTA,EQ,INE474Q01023
Aster DM Healthcare Ltd.,healthcare,ASTERDM,EQ,INE914M01019
Krishna Institute of Medical Sciences Ltd.,healthcare,KIMS,EQ,INE967H01025
Rainbow Children's Medicare Ltd.,healthcare,RAINBOW,EQ,INE765G01017
Vijaya Diagnostic Centre Ltd.,healthcare,VIJAYA,EQ,INE043W01024
Metropolis Healthcare Ltd.,healthcare,METROPOLIS,EQ,INE112L01020
Dr Lal Path Labs Ltd.,healthcare,LALPATHLAB,EQ,INE600L01024
Thyrocare Technologies Ltd.,healthcare,THYROCARE,EQ,INE594H01019
Krsnaa Diagnostics Ltd.,healthcare,KRSNAA,EQ,INE0E9601017
Sansera Engineering Ltd.,auto,SANSERA,EQ,INE0BUL01010
Pricol Ltd.,auto,PRICOLLTD,EQ,INE761G01016
Lumax Industries Ltd.,auto,LUMAXIND,EQ,INE162B01018
Lumax Auto Technologies Ltd.,auto,LUMAXTECH,EQ,INE933S01016
GR Infraprojects Ltd.,infra,GRINFRA,EQ,INE201P01022
Awfis Space Solutions Ltd.,realestate,AWFIS,EQ,INE0EFY01016
Premier Explosives Ltd.,defence,PREMEXPLN,EQ,INE863B01029
Zen Technologies Ltd.,defence,ZENTEC,EQ,INE251B01027
Solar Industries India Ltd.,defence,SOLARINDS,EQ,INE343H01029
Bharat Electronics Ltd.,defence,BEL,EQ,INE263A01024
Bharat Dynamics Ltd.,defence,BDL,EQ,INE171Z01018
Hindustan Aeronautics Ltd.,defence,HAL,EQ,INE066F01012
Mahindra & Mahindra Ltd.,auto,M&M,EQ,INE101A01026
Tata Motors Ltd.,auto,TATAMOTORS,EQ,INE155A01022
Maruti Suzuki India Ltd.,auto,MARUTI,EQ,INE585B01010
Ola Electric Mobility Ltd.,ev,OLAELEC,EQ,INE0LXG01040
Olectra Greentech Ltd.,ev,OLECTRA,EQ,INE260D01016
Servotech Power Systems Ltd.,ev,SERVOTECH,EQ,INE635Y01017
Tata Elxsi Ltd.,it,TATAELXSI,EQ,INE670A01012
Bharat Heavy Electricals Ltd.,capgoods,BHEL,EQ,INE257A01026
GE Power India Ltd.,capgoods,GEPIL,EQ,INE878A01011
Thermax Ltd.,capgoods,THERMAX,EQ,INE152A01029
KSB Ltd.,capgoods,KSB,EQ,INE999A01015
Cummins India Ltd.,capgoods,CUMMINSIND,EQ,INE298A01020
Carborundum Universal Ltd.,capgoods,CARBORUNIV,EQ,INE120A01034
Praj Industries Ltd.,capgoods,PRAJIND,EQ,INE074A01025
Lakshmi Machine Works Ltd.,capgoods,LAXMIMACH,EQ,INE269B01029
Triveni Turbine Ltd.,capgoods,TRITURBINE,EQ,INE152M01016
Honeywell Automation India Ltd.,capgoods,HONAUT,EQ,INE671A01010
Bharat Forge Ltd.,auto,BHARATFORG,EQ,INE465A01025
Apar Industries Ltd.,capgoods,APARINDS,EQ,INE372A01015
RR Kabel Ltd.,capgoods,RRKABEL,EQ,INE777K01022
Finolex Cables Ltd.,capgoods,FINCABLES,EQ,INE235A01022
V-Guard Industries Ltd.,capgoods,VGUARD,EQ,INE951I01027
Polyplex Corporation Ltd.,capgoods,POLYPLEX,EQ,INE633B01018
Indian Oil Corporation Ltd.,energy,IOC,EQ,INE242A01010
Bharat Petroleum Corporation Ltd.,energy,BPCL,EQ,INE029A01011
Hindustan Petroleum Corporation Ltd.,energy,HINDPETRO,EQ,INE094A01015
Oil and Natural Gas Corporation Ltd.,energy,ONGC,EQ,INE213A01029
Oil India Ltd.,energy,OIL,EQ,INE274J01014
GAIL India Ltd.,energy,GAIL,EQ,INE129A01019
Petronet LNG Ltd.,energy,PETRONET,EQ,INE347G01014
Mahanagar Gas Ltd.,energy,MGL,EQ,INE002S01010
Indraprastha Gas Ltd.,energy,IGL,EQ,INE203G01027
Gujarat Gas Ltd.,energy,GUJGASLTD,EQ,INE844O01030
Gujarat State Petronet Ltd.,energy,GSPL,EQ,INE246F01010
NHPC Ltd.,power,NHPC,EQ,INE848E01016
SJVN Ltd.,power,SJVN,EQ,INE002L01015
Tata Power Co. Ltd.,power,TATAPOWER,EQ,INE245A01021
NTPC Ltd.,power,NTPC,EQ,INE733E01010
Adani Power Ltd.,power,ADANIPOWER,EQ,INE814H01011
Power Grid Corporation of India Ltd.,power,POWERGRID,EQ,INE752E01010
Adani Energy Solutions Ltd.,power,ADANIENSOL,EQ,INE931S01010
JSW Energy Ltd.,power,JSWENERGY,EQ,INE121E01018
Torrent Power Ltd.,power,TORNTPOWER,EQ,INE813H01021
CESC Ltd.,power,CESC,EQ,INE486A01013
Power Finance Corporation Ltd.,nbfc,PFC,EQ,INE134E01011
REC Ltd.,nbfc,RECLTD,EQ,INE020B01018
Housing & Urban Development Corp Ltd.,nbfc,HUDCO,EQ,INE031A01017
Indian Renewable Energy Development Agency Ltd.,nbfc,IREDA,EQ,INE202E01016
